序号,用途,文件名
1,X方向相移,X方向四步相移_第1步_0deg.png
2,X方向相移,X方向四步相移_第2步_90deg.png
3,X方向相移,X方向四步相移_第3步_180deg.png
4,X方向相移,X方向四步相移_第4步_270deg.png
5,Y方向相移,Y方向四步相移_第1步_0deg.png
6,Y方向相移,Y方向四步相移_第2步_90deg.png
7,Y方向相移,Y方向四步相移_第3步_180deg.png
8,Y方向相移,Y方向四步相移_第4步_270deg.png
9,X方向GrayCode,X方向GrayCode_第1位.png
10,X方向GrayCode反码,X方向GrayCode_第1位_反码.png
11,X方向GrayCode,X方向GrayCode_第2位.png
12,X方向GrayCode反码,X方向GrayCode_第2位_反码.png
13,X方向GrayCode,X方向GrayCode_第3位.png
14,X方向GrayCode反码,X方向GrayCode_第3位_反码.png
15,X方向GrayCode,X方向GrayCode_第4位.png
16,X方向GrayCode反码,X方向GrayCode_第4位_反码.png
17,X方向GrayCode,X方向GrayCode_第5位.png
18,X方向GrayCode反码,X方向GrayCode_第5位_反码.png
19,X方向GrayCode,X方向GrayCode_第6位.png
20,X方向GrayCode反码,X方向GrayCode_第6位_反码.png
21,X方向GrayCode,X方向GrayCode_第7位.png
22,X方向GrayCode反码,X方向GrayCode_第7位_反码.png
23,Y方向GrayCode,Y方向GrayCode_第1位.png
24,Y方向GrayCode反码,Y方向GrayCode_第1位_反码.png
25,Y方向GrayCode,Y方向GrayCode_第2位.png
26,Y方向GrayCode反码,Y方向GrayCode_第2位_反码.png
27,Y方向GrayCode,Y方向GrayCode_第3位.png
28,Y方向GrayCode反码,Y方向GrayCode_第3位_反码.png
29,Y方向GrayCode,Y方向GrayCode_第4位.png
30,Y方向GrayCode反码,Y方向GrayCode_第4位_反码.png
31,Y方向GrayCode,Y方向GrayCode_第5位.png
32,Y方向GrayCode反码,Y方向GrayCode_第5位_反码.png
33,Y方向GrayCode,Y方向GrayCode_第6位.png
34,Y方向GrayCode反码,Y方向GrayCode_第6位_反码.png
